@relation worldSeries
% each attribute in the data set is a ratio of the data for the 2 competing world series teams

@attribute winPercentage    REAL
@attribute battingAvg       REAL
@attribute ops              REAL
@attribute era              REAL
@attribute whip             REAL
@attribute pb               REAL
@attribute fpct             REAL
@attribute champion         {0,1}


@data
0.9682539683,0.9088319088,0.9167733675,0.9088319088,0.9160305344,2.666666667,0.9959349593,1
0.9805510535,0.8870523416,0.9555837563,0.8870523416,0.9538461538,1,1,1
0.955954323,0.9811320755,1.030640669,0.9811320755,1.016260163,0.9090909091,0.9959266802,1
1.061157025,0.9590643275,1.012064343,0.9590643275,0.9457364341,1,0.997961264,1
1.065836299,1.059259259,1.044077135,1.10982659,1.015151515,1.875,0.9979570991,1
0.960443038,1.019083969,1.014347202,0.9634551495,0.9752066116,0.3846153846,1.005107252,1
1.031690141,1.056818182,1.131994261,1.183976261,1.053435115,0.8571428571,0.995930824,1
0.9190082645,0.9256505576,0.9224704336,0.9203296703,0.9923664122,2.6,0.993883792,1
1.108540925,1.047619048,1,0.8911174785,0.9461538462,1.5,1.003061224,1
1.116190476,1.007662835,0.9472295515,0.8436830835,0.9718309859,0.7619047619,1,1
1.099315068,1.060483871,1.120243531,1.162162162,1.130434783,1.857142857,1.006134969,1
0.9296235679,0.9578544061,0.9915730337,1.054313099,0.9919354839,0.8461538462,1.00408998,1
1.131672598,0.958490566,1.004143646,0.9380530973,0.9457364341,0.7368421053,1.00407332,1
1.020236088,0.9657794677,0.9410977242,0.8010204082,0.9465648855,0.8666666667,0.9979695431,1
1.0221843,0.982078853,0.9847908745,0.9407582938,0.9440559441,2,0.9928716904,1
1.1104,1.164,1.141496599,1.113372093,1.048,1.375,1,1
0.859375,0.8784722222,0.8957575758,0.9502617801,1.04,1.416666667,0.9989837398,1
1.051239669,0.9822695035,0.9487179487,0.8789346247,0.9420289855,0.5789473684,1,1
1.074074074,0.9494584838,0.9651741294,0.8739495798,0.951048951,0.6153846154,0.998980632,1
1.045774648,1,0.9821200511,1.03875969,1.056451613,1.75,0.9959432049,1
0.9656301146,0.9468085106,1.016817594,0.9593495935,1.015625,1,0.9989858012,1
1.07107438,0.9858156028,0.9663461538,0.8971291866,0.9689922481,0.4285714286,1.004077472,1
0.8985270049,0.9770992366,0.9772423025,0.972299169,0.984,0.6666666667,1,1
1.135658915,1.018587361,1.010403121,0.845814978,0.9565217391,0.75,0.9989837398,1
0.9308600337,1.003584229,0.9813895782,1.11627907,1.070866142,0.9,1.003042596,1
1.054577465,1.019607843,0.9896103896,0.9845360825,0.9485294118,2,1,1
0.9025157233,0.9116607774,0.9308700834,0.9765258216,1,0.9090909091,1.002030457,1
0.9788732394,1.073929961,1.038408779,1.169642857,1.031496063,1.333333333,0.9939271255,1
0.9362068966,0.9962825279,1.04558011,1.019021739,1.015748031,2.8,1.002038736,1
1.011049724,1.031372549,1.13018598,1.145714286,1.076923077,0.5454545455,0.9989837398,1
0.9488054608,0.907063197,0.970027248,0.9195710456,0.921875,0.8,1.001015228,1
0.9125,1.0234375,0.9831606218,1.219047619,1.117117117,1,1.002034588,1
1.030497592,0.8829787234,0.9368165249,0.8203883495,0.905511811,1.1875,1.002034588,1
0.8455772114,0.9328358209,0.9772727273,0.9013333333,0.92,0.4,0.9959473151,1
1.072327044,1.08984375,1.016830295,0.8771331058,1,1.181818182,1.002055498,1
1.106086957,1.08203125,1.052631579,0.9966555184,0.9318181818,0.4545454545,1.004110997,1
0.9504792332,0.975177305,0.9888888889,1.049689441,0.962406015,1,0.9918533605,1
1.039634146,1.043956044,1.082474227,1.28125,1.022900763,0.4,1.002047083,1
1.030794165,0.9962825279,0.9713914174,0.8645533141,0.9338235294,2.166666667,0.998980632,1
1,0.9925373134,0.9866844208,0.9968944099,0.968503937,0.6666666667,1.00204499,1
1.081560284,0.9727626459,0.9465753425,0.8680738786,0.9343065693,0.5263157895,0.9959266802,1
1.021069692,0.9420289855,1.01615074,1.008595989,1.048,1.4,0.9979591837,1
1.05227656,1.041198502,1.011869436,1.024324324,1.023622047,1.857142857,0.9979570991,1
0.9418238994,0.9188191882,0.9306358382,0.9188191882,1,0.8333333333,0.995930824,1
1.028333333,1.244186047,1.056547619,1.244186047,1.107142857,0.3846153846,1.003067485,1
0.8775862069,0.9939209726,0.904432133,0.9939209726,1.008064516,0.7777777778,1.00204499,1
1.133093525,1.006756757,1.070605187,1.006756757,0.9672131148,1.9,0.9989754098,1
0.8905547226,1.183976261,1.00928382,1.183976261,1.038167939,1,0.991861648,1
1.13028169,0.9557195572,0.8888888889,0.9971346705,1.023809524,0.75,0.9979550102,1
1.130508475,1.030418251,1.028378378,1.263665595,1.114754098,2,1.001022495,1
1.010344828,0.9214285714,0.945026178,0.945799458,0.9461538462,1.166666667,0.9939086294,1
0.957841484,0.9375,0.9610552764,0.7612903226,0.8611111111,0.6470588235,0.9959349593,1
1.063670412,1.104247104,1.113360324,1.234986945,1.072463768,1.142857143,1.003061224,1
0.9020866774,1.018796992,1.074270557,0.995049505,0.9555555556,1.181818182,0.9939209726,1
0.9376053963,1.036630037,1.044386423,1.013368984,0.9465648855,0.9,0.9989816701,1
1,0.9711191336,0.9220125786,0.9023746702,0.9538461538,0.4,1.001013171,1
