@RELATION idea1train

@ATTRIBUTE league	{0,1}
@ATTRIBUTE winpercentage 	Continuous
@ATTRIBUTE battavg 	Continuous
@ATTRIBUTE ops	Continuous
@ATTRIBUTE era	Continuous
@ATTRIBUTE whip	Continuous
@ATTRIBUTE pb	Continuous
@ATTRIBUTE fpct	Continuous
@ATTRIBUTE won 	Continuous

@DATA
1,0.61,0.272,0.364,3.8,1.34,11,0.979,0
0,0.626,0.282,0.36,3.22,1.33,8,0.982,1
1,0.63,0.274,0.773,3.8,1.34,11,0.981,0
1,0.591,0.265,0.73,3.5,1.32,6,0.974,0
1,0.624,0.26,0.765,3.48,1.29,9,0.97,0
1,0.627,0.262,0.748,3.53,1.31,13,0.98,0
0,0.656,0.273,0.776,3.2,1.31,10,0.977,1
0,0.721,0.262,0.744,2.78,1.2,6,0.977,0
0,0.623,0.26,0.758,3.23,1.35,5,0.976,0
1,0.604,0.258,0.761,3.57,1.24,9,0.982,0
1,0.617,0.269,0.769,3.47,1.36,6,0.981,1
0,0.597,0.268,0.751,3.22,1.27,9,0.978,1
1,0.564,0.257,0.73,3.79,1.37,19,0.982,1
1,0.617,0.276,0.743,3.49,1.25,10,0.98,1
